ID товара,Наименование,Цена,Город,Промо цена,Ссылка на страницу
3608688,Батончик глазированный Snaq Fabriq кокос 40г,49.90,Москва,Отсутствует,https://www.detmir.ru/product/index/id/3608688/
3284515,Батончик Take a Bitey фруктово-ягодный яблоко-вишня 25г с 2лет,64.90,Москва,38,https://www.detmir.ru/product/index/id/3284515/
3284517,Батончик Take a Bitey овсяно-фруктовый яблоко-клубника 30г с 3лет,64.90,Москва,38,https://www.detmir.ru/product/index/id/3284517/
3286183,Печенье Bombbar овсяное ореховый микс 40г,49.90,Москва,Отсутствует,https://www.detmir.ru/product/index/id/3286183/
3284543,Снек Take a Bitey паффы мультизлаковые морковь 20г,64.90,Москва,51.38,https://www.detmir.ru/product/index/id/3284543/
3618242,Батончик Take a Bitey фруктово-ягодный яблоко-банан 25гр с 2лет,54.90,Москва,38,https://www.detmir.ru/product/index/id/3618242/
3284516,Батончик Take a Bitey овсяно-фруктовый яблоко-банан 30г с 3лет,64.90,Москва,38,https://www.detmir.ru/product/index/id/3284516/
3618243,Батончик Take a Bitey овсяно-фруктовый черная смородина 30г с 3лет,54.90,Москва,38,https://www.detmir.ru/product/index/id/3618243/
3284544,Снек Take a Bitey паффы мультизлаковые банан 20г,64.90,Москва,51.38,https://www.detmir.ru/product/index/id/3284544/
3618241,Батончик Take a Bitey фруктово-ягодный яблоко-малина 25гр с 2лет,54.90,Москва,44.45,https://www.detmir.ru/product/index/id/3618241/
3526370,Конфета R.A.W.LIFE Тирамису 18г,44.90,Москва,Отсутствует,https://www.detmir.ru/product/index/id/3526370/
3286182,Печенье Bombbar овсяное ягодный микс 40г,49.90,Москва,Отсутствует,https://www.detmir.ru/product/index/id/3286182/
3286047,Орехи Семушка кедровые 250г,779,Москва,689,https://www.detmir.ru/product/index/id/3286047/
3286827,Батончик Take a Bite Мята орехово-фруктовый мята 45г,113.30,Москва,72,https://www.detmir.ru/product/index/id/3286827/
3286184,Печенье Bombbar овсяное шоколад-мята 40г,49.90,Москва,43.46,https://www.detmir.ru/product/index/id/3286184/
3608691,Батончик глазированный Snaq Fabriq манго-маракуйя 40г,49.90,Москва,Отсутствует,https://www.detmir.ru/product/index/id/3608691/
3310319,Батончик Bombbar Кето со вкусом тропического кокоса и миндаля 40г,94.90,Москва,79.10,https://www.detmir.ru/product/index/id/3310319/
3277203,Батончик R.A.W.LIFE орехово-фруктовый кешью 47г,155.90,Москва,99,https://www.detmir.ru/product/index/id/3277203/
3286839,Хлебцы Take a Bite хрустящие кукурузно-рисовые с луком 150г,138.90,Москва,119,https://www.detmir.ru/product/index/id/3286839/
3608689,Батончик глазированный Snaq Fabriq ананас 40г,49.90,Москва,Отсутствует,https://www.detmir.ru/product/index/id/3608689/
3286041,Орехи Семушка кедровые 150г,539,Москва,409,https://www.detmir.ru/product/index/id/3286041/
3277207,Батончик R.A.W.LIFE орехово-фруктовый какао-мята 47г,155.90,Москва,109,https://www.detmir.ru/product/index/id/3277207/
3618240,Батончик Take a Bitey фруктово-ягодный яблоко-груша 25гр с 2лет,54.90,Москва,43.46,https://www.detmir.ru/product/index/id/3618240/
3286084,Батончик Леовит Фрутончик со злаками яблоко-курага-рис 20г,47.90,Москва,20.55,https://www.detmir.ru/product/index/id/3286084/
3284545,Снек Take a Bitey паффы мультизлаковые клубника-банан 20г,64.90,Москва,Отсутствует,https://www.detmir.ru/product/index/id/3284545/
3422278,Батончик ОлЛайт яблочный с корицей 30г,44.90,Москва,34.55,https://www.detmir.ru/product/index/id/3422278/
3286185,Батончик-мюсли Bombbar фундук 45г,55.70,Москва,49.40,https://www.detmir.ru/product/index/id/3286185/
3430114,Батончик SIBERRYA Яркий злаковый 35г,43.50,Москва,34.55,https://www.detmir.ru/product/index/id/3430114/
3286042,Орехи Семушка пекан 110г,369,Москва,Отсутствует,https://www.detmir.ru/product/index/id/3286042/
3286083,Батончик Леовит Фрутончик со злаками изюм-слива-гречка 20г,42.90,Москва,17.90,https://www.detmir.ru/product/index/id/3286083/
3433297,Хлебцы DrKorner гречневые с витаминами без глютена100г,70.90,Москва,Отсутствует,https://www.detmir.ru/product/index/id/3433297/
3286031,Орехи Семушка макадамия 120г,489,Москва,Отсутствует,https://www.detmir.ru/product/index/id/3286031/
3430116,Батончик SIBERRYA Заводной злаковый 35г,43.50,Москва,34.55,https://www.detmir.ru/product/index/id/3430116/
3286838,Хлебцы Take a Bite хрустящие гречневые 150г,129.90,Москва,Отсутствует,https://www.detmir.ru/product/index/id/3286838/
3277206,Батончик R.A.W.LIFE орехово-фруктовый макадамия 47г,155.90,Москва,95,https://www.detmir.ru/product/index/id/3277206/
3422277,Батончик ОлЛайт апельсин-имбирь 30г,44.90,Москва,34.55,https://www.detmir.ru/product/index/id/3422277/
3417770,Батончик ENERGON Slim брусника-яблоко и злаки 40г,35.90,Москва,Отсутствует,https://www.detmir.ru/product/index/id/3417770/
3422269,Батончик ОлЛайт шоколадный с кокосом 30г,44.90,Москва,34.55,https://www.detmir.ru/product/index/id/3422269/
3433306,Хлебцы Jr Korner мини хрустящие рисовые с бананом 30г,36.90,Москва,Отсутствует,https://www.detmir.ru/product/index/id/3433306/
